"Début des rapports","Fin des rapports","Nom de l’ensemble de publicités","Nom de la campagne",Commence,Fin,"Diffusion des ensembles de publicités","Paramètre d’attribution",Couverture,Résultats,"Indicateur de résultats","Coût par résultat",Répétition,"Budget des ensembles de publicités","Type de budget de l’ensemble de publicités","Montant dépensé (EUR)",Impressions,"CPM (Coût pour 1 000 impressions) (EUR)","Clics sur un lien",shop_clicks,"CPC (coût par clic sur un lien) (EUR)","CTR (taux de clics sur le lien)","Inscriptions terminées","Inscriptions terminées sur le site Web","Coût par inscription terminée (EUR)"
2025-06-27,2025-07-01,"Liquidfy Early Access - Register conversion","CAMPAGNE CONVERSION LIQUIDFY",2025-06-28,ต่อเนื่อง,inactive,"clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",149,1,actions:offsite_conversion.fb_pixel_complete_registration,6.19,1.033557,15.5,Quotidien,6.19,154,40.194805,3,,2.063333,1.948052,1,1,6.19
2025-06-27,2025-07-01,"Liquidfy Early Access - Register conversion 21M-25M","CAMPAGNE CONVERSION LIQUIDFY",2025-06-29,ต่อเนื่อง,inactive,-,0,,,,0,15.5,Quotidien,0,0,0,,,,,,,
2025-06-27,2025-07-01,"Liquidfy Early Access - Register conversion STACKING","CAMPAGNE CONVERSION LIQUIDFY",2025-06-29,ต่อเนื่อง,inactive,-,0,,,,0,15.5,Quotidien,0,0,0,,,,,,,
2025-06-27,2025-07-01,"Liquidfy Early Access - Register CVR CA, UK, AUS","CAMPAGNE CONVERSION LIQUIDFY",2025-06-29,ต่อเนื่อง,active,"clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",1281,8,actions:offsite_conversion.fb_pixel_complete_registration,4.24375,1.357533,17.5,Quotidien,33.95,1739,19.522714,23,,1.476087,1.322599,8,8,4.24375
