"Début des rapports","Fin des rapports","Nom de la campagne",Commence,Fin,"Diffusion des campagnes","Paramètre d’attribution",Couverture,Résultats,"Indicateur de résultats","Coût par résultat",Répétition,"Budget des ensembles de publicités","Type de budget de l’ensemble de publicités","Montant dépensé (EUR)",Impressions,"CPM (Coût pour 1 000 impressions) (EUR)","Clics sur un lien",shop_clicks,"CPC (coût par clic sur un lien) (EUR)","CTR (taux de clics sur le lien)","Inscriptions terminées","Inscriptions terminées sur le site Web","Coût par inscription terminée (EUR)"
2025-06-28,2025-06-30,"Liquidfy Early Access - Traffic",2025-06-28,ต่อเนื่อง,not_delivering,"clic à 7 jours et vue à 1 jour",4127,27,actions:landing_page_view,0.98148148,1.044342,"Utilisation du budget de l’ensemble de publicités",0,26.5,4310,6.148492,50,,0.53,1.160093,3,3,8.833333
2025-06-28,2025-06-30,"CAMPAGNE CONVERSION LIQUIDFY",2025-06-28,ต่อเนื่อง,active,"clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",983,3,actions:offsite_conversion.fb_pixel_complete_registration,7.58666667,1.132248,"Utilisation du budget de l’ensemble de publicités",0,22.76,1113,20.449236,15,,1.517333,1.347709,3,3,7.586667
2025-06-28,2025-06-30,"Liquidfy Early Access - Traffic UK/CA/AUS",2025-06-29,ต่อเนื่อง,inactive,"clic à 7 jours et vue à 1 jour",1237,5,actions:landing_page_view,0.972,1.042846,"Utilisation du budget de l’ensemble de publicités",0,4.86,1290,3.767442,8,,0.6075,0.620155,1,1,4.86
